userid,age,sex,consume,user_star
E0F497FB01B218570F8CBDBC68D8D61C,36,0,2.24,1
EEEA691A1FF2B3344CD146F73D2E0EBC,27,0,1,0
23CF508EABB8D61CD6D4094D5EB9A638,45,1,9.2,1
C56278D8701B667905E1EB2F80E12760,-1,-1,-1,-1
E282572932F0DE2172201B624058B812,43,0,113.9,5
209B1D5EABC2096F7D0BF21BBD3C8659,45,0,10.2,1
7E9CDF2E85D3BBFC804990D9E200184F,32,1,130,4
CDBFA51C9AC0967706CC2D3E1538B68B,60,1,169.01,4
E6EF188D1289ABD4B8E5AC378D79091D,22,1,40.89,1
55FAEED93C07D2B0D6C65D2F1E32D4D5,29,0,141,4
609B24EF732A4F78A8CED1851592F1F5,24,1,78,2
A64FAFBF31D718D85A2F899F45D2005D,-1,-1,-1,-1
E917DAF7EE50ABCEA2A4054FBA790792,43,0,226,4
12BDD16CB1008AC23547D40386FC333E,42,0,164.9,5
23D1856637A1996A711AA5057F775663,55,1,0.6,1
5267F89C74FD4CF165963C462EEABD5A,35,0,14.25,1
ACCE6582FE8870787C82F887A8FFD357,37,0,27.6,1
BBA7E0D9DCF0951525F05528417E7121,59,0,1,1
CE382A7F1D349CEF565E3436279463D5,23,0,79,2
6E6DDD913FDC4DDC1CA45991E7D1E71C,-1,-1,-1,-1
BCE3124DBE8D87D0FAFB05831562704B,-1,0,34.68,-1
49D88E582F321791EB7ED376E8AF15C1,53,0,1,1
52B72C82D18DD6A01F4E0CDEFB565B08,45,0,81.56,2
85E5149319AE73A1BAB530CAC9431270,48,1,20,1
CD1AE3F2F9D14E86C5E8070A76A47029,-1,-1,-1,-1
F51D11CA5FD3F797D1453F1C6A3D796F,41,1,182.76,4
EABA2241CC28204F0DCC0797CF271123,25,0,-1,-1
CC54AF44B93D0AD6374DA10E8FE779DF,-1,-1,-1,-1
4D1A9D0C8D8F24DE83883BA61614D018,-1,-1,-1,-1
5501E0E15D6AF1901ED44525C8F43825,21,0,23.8,1
58BB3D9EE2A7612CE6EB32E81DA869C7,47,0,30.28,1
A7AB45263834A0B28F3A8240799BDAD2,35,1,101.85,2
83372466C031F679A8FD9D4D1941459C,30,0,37.68,2
C7B1D6C523C65641F80EA92EF2F6A299,51,1,99,3
23A3B54A524C5B70535B7D47AF3A785C,37,0,48,2
6837F23EFEFCFD2DCD541EB54F95A177,33,0,29,1
6910AC34D02AA1123F665485FB85FA2D,28,1,11,0
896BD55A9FB42531D6430D85F62D8CA7,58,0,10,2
AF989BE4DF3E68E2D5A528EB13FD0290,26,1,1.1,1
D62548161BF91142BDEE6EB466CFEF4F,48,0,37,2
DFD5D6A277C12213E761723BEA22B0D7,-1,-1,-1,-1
E65573DD07849933F11A605C4D73CF2D,25,1,69,2
384590F329F49BD03BC7F6B9887A9D0C,47,1,57,1
A1A14796E792CC66B2FDF2967B4CB40B,54,1,100,3
BD48E0946F855732C2C8BCB9B5EBDE90,46,0,67.1,4
C6683A17ACA16404C64FB98057DB4705,33,1,229.7,4
6B28DE5BEB03A441535AC59FA911AF50,41,1,84.9,4
145A540B8FE4FE8462296B6708B141D4,-1,-1,-1,-1
C2AADCD36C288AF29D2E5B49D335BF20,22,0,20.1,2
CDCF5B20588803B569CBA89BF5A24691,62,0,48.5,-1
E5B642BD6DCB0CA30A2B8DB6F89C3007,38,1,116.2,4
39BBAF414D0574134B19DC7F0256C513,56,1,56,2
3BD9E732D77E64A5A49980EB391E89F7,37,0,141.1,4
5B294D06AC71CA77FF09A155CCEEC104,44,1,101.42,2
DF7B1B730B23CF08A2F3E86728FDF25A,41,1,0.19,1
6ADB98CBB9BC90E10A7C384824EC22CF,48,0,58.49,2
7684711515C0AB9B69ADBB19798A799F,36,1,78,2
C2D9E38738BD72342E75704B62C9E221,-1,-1,-1,-1
3AB7104C814D742C643DB64FF6FE9A31,31,1,125.83,4
4CAC1C397AC19F89FD4AFD4ACF1058B9,46,0,8,1
67874DB57C0C4F877515B0C8B31B3F0F,-1,-1,-1,-1
D6EEF34B7E00AC903515C001839FDE7C,36,1,209.1,5
F167FBF2A2D5E74D48CA8722E2112ABE,40,1,63,2
F383DD1F0DAA896B5450B10183AD6FC7,-1,-1,-1,-1
FB703B9E3A31E75695A2A7AA3771DED9,47,0,19.19,1
C4A31D6798FBC9BF11D2BC66E09545DE,22,0,71,2
DDB26B0F74E0A533CB54543997ECAB26,-1,-1,-1,-1
1F785F83615FCB351D66552ABE2D92DF,37,0,30,1
2A60269EBD47ABD9322027C350E11BE3,37,1,58.48,1
3FC4AC5170BADAD1BD16217C6FBA8D8A,60,0,31.69,1
600B7458BF3D201ED8B483B1CC3D8A83,-1,-1,-1,-1
8A1A158B8EA242407DF91606C76886B3,-1,-1,-1,-1
3ABB5D2601EE388FC804175C9104153A,50,1,59,2
6975A11590BF25FF758D4543D46263AC,-1,-1,-1,-1
7C9DD3FCDD3015DF74302AB10A00C162,-1,-1,-1,-1
EB0257A24CE3E1E8F9E5933BE2147994,-1,-1,-1,-1
0A1D999AA1A99B919A6C7E36CF135734,27,1,34.03,0
28B5A5B3CD6F4F86F5B84C34D6B8CD32,52,0,56,2
CBA52126F690B011223BC4734B0EBCF0,-1,-1,-1,-1
03B3C9721445B2CED48FB5E6BB557B97,26,0,39,1
29341D6B77F7155579C60637ED8FA89C,28,1,75,2
2DA96A215D98A9E32879C5DAC765C37A,-1,-1,-1,-1
936C741B761292097367EE084B8271E9,61,0,33.44,2
E1D91049C8FEA3D711320D0B5DDD40D1,33,0,30,0
EF2BAB4918203F131D821C065BF6EDA6,31,1,89,3
1D96F05DF52725B3229A902D7767B6F9,-1,-1,-1,-1
2FD389A18331304EBEA23533FB5A88BE,-1,-1,-1,-1
708F5A8F319DB122EEFD506181827568,38,0,48,1
AA23308D5BA8FA45435C9DF497AE211C,30,0,36.1,1
302A8E1E3CF4692EFE03536C87ED1FE8,37,1,93,3
8579F35624B23D1AFFB8F503F811382A,49,1,1,1
47E1A5979DE9141A28E6325B7D258DC5,49,0,50,4
6DF09A060353E70A5CE50FDD8ABB74D3,-1,-1,-1,-1
9826055F8889A905FFB0C3A19021E56A,33,1,50.26,2
C3C102E676FE82BDE4432B2C6FF28C5B,-1,-1,-1,-1
FBC0C5730BE1B1C48E54E88BC29E4642,28,0,82.4,3
36DC8F21C55B46F2EAF03E84270328BA,-1,-1,-1,-1
60F3143EBF98397E1967BC2FDAE55C28,33,1,140,4
69930B8750B13F3A11B37422D3C08D10,38,1,10.1,1
93074653F8023DE5EDA2D0B1AAF931ED,35,1,56.7,1
EBBD9973DE2D5F3A7B90420CB651282A,44,0,199.1,7
D73F319785B117A9B3453B6D016DFF17,25,1,102.1,3
42C4975D2045B962DC34E156677C211F,39,1,65.41,-1
9CCC67530B58F9CBFC35AAFCF18E89DF,45,1,2.3,1
B6CD6091A5BDF24FE9ABCF1734AB8EDE,31,1,0,-1
DFF445C0A1FD6D0FDD35CC5F6AE48C3A,49,0,21.85,1
94BBAED165491B9E261A5B758E23EEB8,32,1,39.1,1
B1188EBF4DBC7EB4753FAF4D2F5362A4,-1,-1,-1,-1
CE69EC614D6FD1416B1256ACA67666A0,-1,1,55.68,-1
F64D361732ECC89B6B0673FFFA6117B3,62,1,19.57,1
3C899B3CE4628EC543C6A44C7DC16CFA,33,1,1,1
9319687DBBA6BA77A5D6CD2DD5D985B7,-1,-1,-1,-1
1005D192A1210D1B2EFB2BCADC6F1D42,61,1,183.9,4
5A0DFB4E1D421B3E1D8B6C9CC9B347F3,37,0,39,1
89C271C61BFDD1A2617884724DD303DB,48,0,123,4
995D815DA5E97912939F4D88A722CD85,-1,-1,-1,-1
15D21C88A323CC11EA6D5443CA900013,38,0,206.4,4
24A75008A60AD6F19741B34774DAC8DF,-1,-1,-1,-1
8A28448DBC1BCD19934FEF0E9F5D517E,42,0,30.03,1
FDC2825CE9C00D30A4A845E3FD2B916B,57,1,-1,-1
1BED1F0FA809FD510D0BBE18887A1999,23,0,80,2
789E116DEE906340F38DD3A7CD10B6D0,67,0,83.3,2
939C0DE0AB5958729B1C95433C2F89EA,49,0,32.8,2
FE4D864701F76323C96E5CF15FCD2B35,30,0,0,1
A184C378337D9BE70F30262021FC7EC2,53,0,49.52,4
D6072AA2EAC11E8BF35E024FEB4D1100,36,0,22.28,1
DA88E0983EF88DA3FF73DDD185731292,42,1,8.1,1
F786C73715EACF085CB3649F7514F785,44,0,0,1
760CB4F8669C9D5A3B2DC9C728FD0C30,-1,-1,-1,-1
927C2D40ABDB7DAA1067A059162DF20F,59,1,48,2
964DB0A44EA39D2ACB15189682D4AB8B,46,0,17,0
C4051E3D192C5358139A13341C6DEEC4,41,0,200.4,5
CCEFB7F4216C90174D302B83F16F45D1,32,1,18,1
D30E0E49F2E789442F54021209FD60C5,58,0,9,1
0AD666F0B9131C2B3FBEDDC97C67C315,-1,-1,-1,-1
24EA997DF515C96D0241E7EC50117391,-1,-1,-1,-1
602697821E8F88F1BA95028DD353B55D,33,0,89,2
90340B2C334B39F20C49BC319583E85B,40,0,8,1
A55356D7F32DE9D8957F9C1BA98AB533,31,1,41.1,1
B8E0248389F94E93FE942E8279C0BA8F,26,1,183,4
DE63B509F79DD20EC50AEAD49CD18E0C,52,1,27.2,3
376BE815708371C7296DC5F0B49E5B14,53,0,13,1
9FE32C45C73F6AAD3379E26598C80625,20,0,38.6,1
AC377F22BDF65071D86B6817BC0B203C,53,0,198.8,4
FF85212D33C9E13921195F93FC1D7F6E,26,0,-1,-1
06B9CE753211EB19E08C0C385272A272,41,0,224.1,4
331C7A3D4127806C0A8D8AAEF9C751BA,-1,-1,-1,-1
52D92D87AB9282BC5D57BE0F62BEA999,53,0,10,1
D96DD7DC9138CCB57C3D225813F14888,60,0,173.7,4
02875D324513393967620933D1B92328,55,0,85.4,2
32CDFE05F126A658C60CC1A0812E4587,60,1,66.17,2
56ADA9DA2794A1F73A9309BA00A18175,34,1,105,4
C361F0483153FEF6947C0E340E417149,33,1,347.7,6
F524D79AC79C2CC52236CAA7226587D9,78,1,47.6,2
FDDD6EBAD60C74D0BBEC762BAAC2625F,28,0,42,1
1CBB8246FAE86C4DC96C614DE6DC7CE8,59,0,49.1,2
2AA944156CBA810DAAB18B06B846724F,42,1,152.8,3
DAFEBE88CFDF6143BC90ABA4E76BF5F5,48,1,40.33,2
FA245DA1906562F1A5D4FD0784664411,27,1,-1,-1
1B6547A4EF9AC67AEE38169F102A0CC3,23,0,-1,-1
2A17E8C1020D2C745AC46F00C7EC2DE6,-1,-1,-1,-1
2F41098BC07A6D48C3684B0B10480A56,-1,-1,-1,-1
D892CB875D7F77F9808BF3E5D97D72BC,41,0,12.59,1
F3912BC53C24A6D3F0397D23E336312F,23,1,74,2
964D92C0FA3D82CD6A1B17E21AEB2ABC,-1,-1,-1,-1
AF4FF458B369E2086C27F10ED0104EE7,-1,-1,-1,-1
DE5A94FE040B801FB29957ADD4869F8E,29,0,179.49,3
2FC50D8522A4ECBC6ADADF1978210A5F,-1,-1,-1,-1
9AB140F272E84544F86F0A6BDB208EE8,42,0,0,1
B236C8DBD2B09FE3E2234841EBD909AC,26,1,89.1,2
D1FBD85918E8E7A2F61A35F36BE3081F,49,1,151,4
3E3D5DD3C9784D1FF37C721E7807E453,-1,-1,-1,-1
8A6F439FF8536FCC545B0B91BA26A774,-1,-1,-1,-1
D5BADDC52FB353A1FC16B6B268500ADE,39,1,9.2,1
E728101A8C2F462FA77D679907148632,34,0,30,1
F3A8C97688E0C9B0BF33BFC65168A8EF,24,0,40,1
1E541B144E7D4924E8C9BD6E2EC6E1E6,33,0,9.1,1
6970F82A49824D5DCEB9124D1C0AE0F7,32,0,69.9,0
EB068B122751888C68630D25710569C6,61,1,33,1
ECBEC499F55035721BB082D869C80787,57,0,14,1
65CEE27FC345BA7DD45CA2FD9DBA2647,33,1,806.75,2
7BBD88AF113D96FE54BBC74CD854A7AB,53,0,48.96,0
2C2A13B58DD7EF7E195CFA75EC632012,36,1,113.2,3
520603AFB120E5D7AE1F52F5E380FEA1,58,1,18.19,-1
AA2A1228FA76826420B8DDEBA8981458,35,0,69.08,2
5AA11CBA65C4DE9CD9790A25C2EC9744,-1,-1,-1,-1
927FA20A5D85FA445B85F1DFC7FDE165,37,0,110.9,4
BC205255A0D60CFAABF2BAFE2146F982,-1,-1,-1,-1
C49DC2AADB1137A6220069B07B394461,59,0,87.9,2
E8F1F03F1792BE42977DB2D9AC0A08E6,40,0,126.98,3
06C6E4B574446BE8ED484FCB79134190,74,1,9,1
4148CC31FAD9C647323D03393557CB84,34,1,25.76,1
E648110B2EB123EE191D9A521B67D1DD,-1,-1,-1,-1
789026DB163F7AAFBBC58EDE6D085D60,21,0,-1,-1
D3901AF095CBA64E341931A51CCBC925,-1,-1,-1,-1
E5CD47A2827B0EBEA5B4EE07926F8D1D,56,1,204.05,3
1FF2E402E439B1320278D9A8962AB005,28,1,46.2,1
6FFC598B8957D352295942DE430B2B84,28,0,120,1
B4C4CB2C7577E4199833CD1408380B26,69,0,24.76,1
CD334E83822257BF08D6DCA5AE8A45BB,-1,-1,-1,-1
1F034F0AE45293E5EDA959B5A2916CA4,-1,-1,-1,-1
710A47934430187CD428A0AE510B0850,26,0,141.29,4
EBC6A57E4CFD2F3E4D8F21D02B829BB5,-1,-1,-1,-1
05ECA9C24A6823502B51A904AD518A3F,-1,-1,-1,-1
18980650EDD8138BB12ECB22336AD35B,30,1,55,1
41FBA1766BA101AF3B229A090FB438C0,52,0,8,2
5A7DC7F9CC7D1356326064D1076E3D6B,-1,-1,-1,-1
601208AAF78357062DA51AA484A7B9A5,48,1,19.19,1
8E5C2E7AA6493E359E606C96EFCAA8CE,24,1,10,0
A9B2A963718E85E900FA0D8F3CC1F879,54,1,21,1
AC1601C5F1F23BD8B78CB24A462E8954,50,0,58,1
BFF587C751C6D4BB0CEBF1BF7D6C9CC3,30,1,97,3
CBAD875F4DEA5EE9A82D073B83683300,42,0,0,1
9E5BEEE68CF53D1C13252A931B8336CE,42,1,113.1,3
C24B5C4160614FC9A64CA51A11A06BA8,-1,-1,-1,-1
F68702D985E74915E51310ABBBA97A2B,-1,-1,-1,-1
0F69FC3CB855D7F8EDFDC665FF0127DF,47,1,20.47,1
997623E8A1DF57927DCFE6CAF3C0A18B,48,0,15.86,1
F9E3DC423442EC06760126959510B199,29,0,29,1
174FC920967CC88FA80689C59BB76551,-1,-1,-1,-1
1988AB03BDDB1B7AE249B15445A67E28,-1,-1,-1,-1
5EA73881A01EB29B9F746D0EDB6B79CB,-1,-1,-1,-1
63F17DC5110A30F83230FADADAEB8494,23,0,40,1
681E06861BFE6B50AEF9B473EDF097C1,-1,-1,-1,-1
6CDB9A493E233B58CE402650A540DE42,31,0,15.85,1
ACF01161C2540FED444517090CB342DA,47,0,70,1
090666D424FD78DA1CA0EE0B566400D1,27,1,104.4,3
3E3F5CCB0615E09940A07475BC0AD2DF,34,1,29.83,1
A02373C9E894553AAF580C3675586583,-1,-1,-1,-1
C670348E4A88291E12B3B016E9134A0B,-1,-1,-1,-1
27A96EF557C9A3F6B35877BB5C27D6AE,56,0,27.9,1
42BC77FA3D25996E0B4A0B6E584BC7D4,25,0,80.1,2
CA1885C1CA252FB33EF8082DA0863405,25,1,54.75,2
D8255293E54087E4B9311C8406E90543,47,1,73,2
39C679EC48A3AC85384DFCDBB77EA758,37,0,158.8,4
DDB8B7A48472B532CB09C5659EC6B06C,-1,-1,-1,-1
FA9463C9BE775573D51F9A2CF3F91BC1,24,1,1.1,1
A53F2CEE80C2863A2D498CDDBE593248,43,1,215.3,5
B55139CAB9DCC8C836A07A03A2242C34,-1,-1,-1,-1
C708CAFEB742FB21CAE0199EDE8EF67B,25,0,78.26,2
C84E919E1043DF46C54ED80A7C2845BE,-1,-1,-1,-1
24D188BEDFFE705F6D68EAB5BE3350D3,53,0,67.1,2
4239733E0A613E9BE22BC188EF4DA7F4,66,0,10,1
7A1CC99F4C5E9824206EAEEA2FCB5571,20,1,0,1
98F57115165E74E1A54F0AD580ABA352,60,0,160.92,6
0FD07241CC8EE863DDE82A3F4B01E868,-1,-1,-1,-1
1EF633280E28183CE850FD2A7F8DC9BF,-1,-1,-1,-1
9F61AC1B2A15E33152CB3E793050988F,21,0,73,2
A8F037B7E006676C57DA485CB2FFBC5F,20,1,11.8,1
B606CCB6863C2C9C2BC3730E7ED6863E,-1,-1,-1,-1
12498ABBD00FE29F4A9627B3D43BD441,20,0,0,1
4178044686123FD36C556F8E798DEBBE,-1,-1,-1,-1
8E94CA4ADBC945F1AC3370E99BAA7075,34,0,142.1,4
1680D90DB96FB87DC0BBD161B238D1A6,51,1,7,1
3D724D6E15DB8735918D699D37E5B55B,36,0,63.51,-1
A41DCB380C2FF3072AF1A9F204F4F207,-1,-1,-1,-1
E422E4C804004CFABE8C19E3B0CF72D4,37,0,9,4
E5F53D8B6D57F491796A4E981324F977,34,1,19.52,1
0995ADD286E9DADAA82953717D8E18F3,-1,-1,-1,-1
2A13BB687F62198F5B08B62E737A3B42,35,0,19,1
4E14EB4A1FFC879D1FFF04BAD34320DD,34,0,8,1
5A1E3CE4361BE3F0C3F172EF18CD47BC,37,1,170.3,4
606F1FC00EC95821BF354401A4B88233,33,0,1.19,1
FBB9587592B8D9A27A3A6A86BD6BFBFE,-1,-1,-1,-1
0B2D8147758CDEB81C38739987F6F235,-1,-1,-1,-1
0818C8C11F6C44E5D462C565568C48AF,55,1,1,1
8954B9F51FE34C9CC514230863F6736C,-1,-1,-1,-1
A03C770F3592855578D3775E23C20524,34,1,22.1,2
BD54C8FB7137056C461E90FF14F1D7DF,38,1,71,3
C064F5A45A0362C5363F6EA0B1D1B809,57,1,104,3
03199F5A248EA53530F646C19DEB997F,-1,-1,-1,-1
47D16547B18BB69BCEE652F4F9961990,35,0,265,5
5C7FE9DF88ADD30033F9264D744B2819,43,0,150.1,4
631071A4457D0D9765024BD4C65FF630,55,0,39.02,1
711ABF177EA2F6C28DC544845AFE8B8D,56,0,81,2
71A334B6F8E326684315D749353BCAE7,49,0,73.1,2
F99E5DE979F78B0E942552AD703331B7,49,1,52.9,1
FE8881139A6FD3770CF17B336BA7C56D,40,0,0.8,1
3D3BB18F92C80F7871F9647B392FF11C,24,1,80.1,2
40E3D0DB0AC072E76BD4D92641065A69,45,0,65.02,2
803552C693C45CFE85840789014A38A2,-1,-1,-1,-1
ED7C7A5CF2A557D14A61208C3B4DEC2A,29,0,223.03,5
089FFBE2C9810FD64A37B6CEBCC00B39,-1,-1,-1,-1
112AF9845D1BC45CB4AED0871EC70750,-1,-1,-1,-1
6B07BC810936B7D44A3AEA7E28A820CC,54,0,98.79,2
D25019CC3154A72E88B38EAC771E9D88,32,0,30,1
79E0222CBA72F0D8745F0F0520FF78E4,71,1,38,1
953A9EA4231327AF6CB7C42E9984B372,46,1,184,4
A51468C93660F959FC419838CF146454,46,1,138.6,4
CB9DEBC29E45AC7091D2B6B23F8D55C3,48,1,10,0
352C3532E6513383D7964FBBBD8AEE1A,34,1,43,2
74284B90726991A50F91A7C6E86D41B1,33,0,132.34,3
74C06384D773F12CC1108E61709386DD,29,0,13.02,1
B3CF467BF0E72B8D838EC2905D1853D9,39,1,38,1
B3CF87BB725F6B34BEE665F86385841E,45,0,2.55,1
E87CD5D1D4C94FB2B18A7A0D2F2EC8DB,56,1,52.18,1
20D18A0C953F68CAF9FAFC31024A033B,45,1,161.55,4
695E95160DB53CF420090444ED34C89B,54,1,18.76,1
7370B2A752D8E107BC7DD1F3879117E7,36,0,160,3
45C5EAF84BDF15D291460A7C88E0A30E,35,0,239,6
8AC162A702D51822AF407A5F816A3620,60,1,32.25,1
9B6C8A351D10D3092073A9B81F0506D9,22,1,37.39,1
B37C0A7C8500FEE50E8648F0F7B53A36,-1,-1,-1,-1
B595A8EF4A151DD31FD132490AD18EA6,27,1,305.25,5
1EBC51B84B7167A32E4BE4FE8E0785E7,40,0,158,2
281AAA473A82B24FEF07A641A626E45D,-1,-1,-1,-1
4623DCD93E110C2FC4698AB10B26AB37,37,0,293.79,4
6175C44455EE631723A15BB83545BF3B,38,0,-1,-1
BA9930C570DAF3B013B69EAE8C49EBC9,43,1,32,1
1EF3B1E59FB618994136D5B22728E925,24,0,50.2,1
34381E1E0322405BDD67763B862ED54F,-1,-1,-1,-1
42A0E9B0A2BF23898178CB247549A555,41,1,10,1
916D3BC879B24D2B34C56DC1C5C6E3A6,44,0,0,1
ADC516521FC667FD4CFEB339C06BF106,36,0,165,4
FB8001A2D36341F374B0ECB7C21F9099,50,1,22.8,1
4EB07F2C171921D442CB72779509E57F,52,0,0,1
87807A95DB5B240B800268B847617038,-1,-1,-1,-1
963EAAAA41DD9A0C37C511D0722AAE23,53,0,71.5,2
D6034C996E86F53DBB7811BE70C383BC,41,1,9,1
5438BCFAD205D0A03E5ED359EF0FA653,36,0,7,1
C601125F5D9A93AEA4CD734EBE7556A7,-1,-1,-1,-1
D034FA7B2885CD30F981E22497231598,57,0,13,1
EE76598E238A0DB2D5A8F7ABE509FD62,28,1,10.17,3
2FB586FDCC7C756CC1A7FB3607665CB4,38,0,21.9,1
350261D6A0B2B8B1AEB057D296F8CCAE,41,1,15.21,1
478628CCFC5A9B295401DBFD3508A4D2,35,0,51,1
5A8E2364DD677F898CE4ED2F85ADCBE4,-1,-1,-1,-1
73F2A4E48B0EB69B730A901E7FDF1A2D,42,0,3,1
ABDA23DD59E78D9510643A3F27E8CD6E,63,0,3,1
F670372BD6037011A5FF3296CE1FE285,48,0,235.9,6
871C58E66218C71BF0BA803530639C8C,54,0,21.52,1
D7AEF19551D6D69419F1A067EC1B184B,51,0,88.99,4
1A4394F9C8F41B5E92EB0343C7573023,48,0,11,1
228F9C16EF6190E0091594F9FFF2112F,81,0,49,1
30DA79D174E6B5364E89D0B64326FFC1,42,1,47.16,3
